Character/Description/Hill,This is the same character that appears in the Wings of Liberty campaign. (Already cast). A gruff mercenary captain who has had a hard life on the battlefield, he fights for profit and not for a cause.=0
Character/Name/ArtanisUI,아르타니스 /// Artanis=1
Character/Name/Day9,Day9 /// Day9=2
Character/Name/DayNine,DayNine /// DayNine=3
Character/Name/Dehaka,데하카 /// Dehaka=4
Character/Name/GhostFemale,유령 /// Ghost=5
Character/Name/Hill,힐 /// Hill=6
Character/Name/Jeon,전용준 /// Jeon=7
Character/Name/KerriganSSF,케리건 /// Kerrigan=8
Character/Name/KerriganUI,케리건 /// Kerrigan=9
Character/Name/Kim,김정민 /// Kim=10
Character/Name/LockwellSSF,록웰 /// Lockwell=11
Character/Name/MengskCommander,아크튜러스 멩스크 /// Arcturus Mengsk=12
Character/Name/MengskSSF,멩스크 /// Mengsk=13
Character/Name/Narrator,해설자 /// Narrator=14
Character/Name/Park,박상현 /// Park=15
Character/Name/ProtossAICommand,아르타니스 /// Artanis=16
Character/Name/Raynor,레이너 /// Raynor=17
Character/Name/RaynorSSF,레이너 /// Raynor=18
Character/Name/RaynorUI,레이너 /// Raynor=19
Character/Name/StoneAnnouncer,스톤 /// Stone=20
Character/Name/Tastosis,Tastosis /// Tastosis=21
Character/Name/TerranAICommand,레이너 /// Raynor=22
Character/Name/TerranAdjutant,부관 /// Adjutant=23
Character/Name/TychusAnnouncer,타이커스 /// Tychus=24
Character/Name/Um,엄재경 /// Um=25
Character/Name/UmJeonKimTrio,엄전김 트리오 /// Um-Jeon-Kim Trio=26
Character/Name/ZeratulUI,제라툴 /// Zeratul=27
Character/Name/ZergAICommand,케리건 /// Kerrigan=28
Character/Name/iNcontrol,iNcontrol /// iNcontrol=29
Character/Name/scboy,scboy /// scboy=30
Character/Timbre/Hill,허스키. 걸걸함.=31
Character/VoiceRef/Hill,Already cast=32
Conversation/AICommunication/Comment00001,Full force confirm=33
Conversation/AICommunication/Comment00002,No army. Will attack ASAP. (Player Setting)=34
Conversation/AICommunication/Comment00003,Defending area. (Player request)=35
Conversation/AICommunication/Comment00004,No army. Will defend ASAP.  (Player Setting)=36
Conversation/AICommunication/Comment00005,Attack Cautious Wave Begin=37
Conversation/AICommunication/Comment00006,No army. Will harass ASAP. (Player Setting)=38
Conversation/AICommunication/Comment00007,Ending harassment.=39
Conversation/AICommunication/Comment00008,No army. Will harass ASAP. (Player Setting)=40
Conversation/AICommunication/Comment00009,Returning to full AI control. (Player Setting)=41
Conversation/AICommunication/Comment00010,Proxy sighted=42
Conversation/AICommunication/Comment00011,Full force enter combat.=43
Conversation/AICommunication/Comment00012,Scouting.=44
Conversation/AICommunication/Comment00013,Scouting complete.=45
Conversation/AICommunication/Comment00014,Unable to send scout to location. Aborting.=46
Conversation/AICommunication/Comment00015,Cannot send scout atm. Will scout ASAP.=47
Conversation/AICommunication/Comment00016,Scout died. Sending another.=48
Conversation/AICommunication/Comment00017,Sending detector.=49
Conversation/AICommunication/Comment00018,Aborting detection command.=50
Conversation/AICommunication/Comment00019,Building a detector ASAP.=51
Conversation/AICommunication/Comment00020,Detector died. Sending another.=52
Conversation/AICommunication/Comment00021,확장 시도 중.=53
Conversation/AICommunication/Comment00022,Expansion secured.=54
Conversation/AICommunication/Comment00023,Cannot expand to location.=55
Conversation/AICommunication/Comment00024,자신=56
Conversation/AICommunication/Comment00025,당신의=57
Conversation/AICommunication/Comment00026,Enemy Zerg sighted.=58
Conversation/AICommunication/Comment00027,Enemy Protoss building sighted.=59
Conversation/AICommunication/Comment00028,Enemy Terran building sighted.=60
Conversation/AICommunication/Comment00029,Enemy Zerg building sighted.=61
Conversation/AICommunication/Comment00030,Enemy townhall found.=62
Conversation/AICommunication/Comment00031,자신=63
Conversation/AICommunication/Comment00032,Proxy sighted.=64
Conversation/AICommunication/Comment00033,Need detection please.=65
Conversation/AICommunication/Comment00034,도움을 받아야 해.=66
Conversation/AICommunication/Comment00035,Full force confirm.=67
Conversation/AICommunication/Comment00036,No army. Will attack ASAP. (Player setting)=68
Conversation/AICommunication/Comment00037,Defending area. (Player request)=69
Conversation/AICommunication/Comment00038,No army. Will defend ASAP.  (Player setting)=70
Conversation/AICommunication/Comment00039,Attack Cautious Wave Begin=71
Conversation/AICommunication/Comment00040,Full force enter combat=72
Conversation/AICommunication/Comment00041,Ending harassment.=73
Conversation/AICommunication/Comment00042,No army. Will harass ASAP. (Player Setting)=74
Conversation/AICommunication/Comment00043,Returning to full AI control. (Player Setting)=75
Conversation/AICommunication/Comment00044,Full force enter combat.=76
Conversation/AICommunication/Comment00046,Need detection please.=77
Conversation/AICommunication/Comment00047,도움을 받아야 해.=78
Conversation/AICommunication/Comment00048,Scouting.=79
Conversation/AICommunication/Comment00049,Scouting complete.=80
Conversation/AICommunication/Comment00050,Unable to send scout to location. Aborting.=81
Conversation/AICommunication/Comment00051,Cannot send scout atm. Will scout ASAP.=82
Conversation/AICommunication/Comment00052,Scout died. Sending another.=83
Conversation/AICommunication/Comment00053,Sending detector.=84
Conversation/AICommunication/Comment00054,Aborting detection command.=85
Conversation/AICommunication/Comment00055,Building a detector ASAP.=86
Conversation/AICommunication/Comment00056,Detector died. Sending another.=87
Conversation/AICommunication/Comment00057,확장 시도 중.=88
Conversation/AICommunication/Comment00058,Expansion secured.=89
Conversation/AICommunication/Comment00059,Cannot expand to location.=90
Conversation/AICommunication/Comment00060,자신=91
Conversation/AICommunication/Comment00061,당신의=92
Conversation/AICommunication/Comment00062,Enemy Zerg sighted.=93
Conversation/AICommunication/Comment00063,Enemy Protoss building sighted.=94
Conversation/AICommunication/Comment00064,Enemy Terran building sighted.=95
Conversation/AICommunication/Comment00065,Enemy Zerg building sighted.=96
Conversation/AICommunication/Comment00066,Enemy townhall found.=97
Conversation/AICommunication/Comment00067,자신=98
Conversation/AICommunication/Comment00069,Full force confirm.=99
Conversation/AICommunication/Comment00070,No army. Will attack ASAP. (Player Setting)=100
Conversation/AICommunication/Comment00071,Defending area. (Player Setting)=101
Conversation/AICommunication/Comment00072,No army. Will defend ASAP.  (Player Setting)=102
Conversation/AICommunication/Comment00073,Attack Cautious Wave Begin=103
Conversation/AICommunication/Comment00075,Ending harassment.=104
Conversation/AICommunication/Comment00077,Returning to full AI control. (Player Setting)=105
Conversation/AICommunication/Comment00080,Need detection please.=106
Conversation/AICommunication/Comment00081,도움을 받아야 해.=107
Conversation/AICommunication/Comment00082,Scouting.=108
Conversation/AICommunication/Comment00083,Scouting complete.=109
Conversation/AICommunication/Comment00084,Unable to send scout to location. Aborting.=110
Conversation/AICommunication/Comment00085,Cannot send scout atm. Will scout ASAP.=111
Conversation/AICommunication/Comment00086,Scout died. Sending another.=112
Conversation/AICommunication/Comment00087,Sending detector.=113
Conversation/AICommunication/Comment00088,Aborting detection command.=114
Conversation/AICommunication/Comment00089,Building a detector ASAP.=115
Conversation/AICommunication/Comment00090,Detector died. Sending another.=116
Conversation/AICommunication/Comment00091,확장 시도 중.=117
Conversation/AICommunication/Comment00092,Expansion secured.=118
Conversation/AICommunication/Comment00093,Cannot expand to location.=119
Conversation/AICommunication/Comment00094,자신=120
Conversation/AICommunication/Comment00095,당신의=121
Conversation/AICommunication/Comment00096,Enemy Zerg sighted.=122
Conversation/AICommunication/Comment00097,Enemy Protoss building sighted.=123
Conversation/AICommunication/Comment00098,Enemy Terran building sighted.=124
Conversation/AICommunication/Comment00099,Enemy Zerg building sighted.=125
Conversation/AICommunication/Comment00100,Enemy townhall found.=126
Conversation/AICommunication/Comment00101,자신=127
Conversation/AICommunication/Comment00102,Proxy sighted.=128
Conversation/AICommunication/Group00001,인공지능 통신=129
Conversation/AICommunication/Group00002,Artanis=130
Conversation/AICommunication/Group00003,감염된 케리건 =131
Conversation/AICommunication/Group00004,Raynor=132
Conversation/AICommunication/Group00005,Army Alerts=133
Conversation/AICommunication/Group00006,Army Alerts=134
Conversation/AICommunication/Group00007,Advanced Alerts=135
Conversation/AICommunication/Group00008,고급 경보=136
Conversation/AICommunication/Group00009,Advanced Alerts=137
Conversation/AICommunication/Group00010,Army Alerts=138
Conversation/AICommunication/Group00011,Advanced Alerts=139
Conversation/AICommunication/Group00012,고급 경보=140
Conversation/AICommunication/Group00013,고급 경보=141
Conversation/AICommunication/Group00014,Confirmations=142
Conversation/AICommunication/Group00015,Confirmations=143
Conversation/AICommunication/Group00016,Confirmations=144
Conversation/AICommunication/Group00017,음의 구역=145
Conversation/AICommunication/Group00018,음의 구역=146
Conversation/AICommunication/Group00019,음의 구역=147
Conversation/AICommunication/Line00001,특공대, 나가신다.=148
Conversation/AICommunication/Line00002,아직 부대를 훈련 중이다. 금방 가겠다.=149
Conversation/AICommunication/Line00003,특공대, 전력을 다해 공격하라!=150
Conversation/AICommunication/Line00004,이 지역을 반드시 사수한다.=151
Conversation/AICommunication/Line00005,요충지란 말이지, 응? 우리가 지켜 주지.=152
Conversation/AICommunication/Line00006,방어에 쓸 부대가 필요하다. 준비되는 대로 투입하지.=153
Conversation/AICommunication/Line00007,대원들이 아직 훈련 중이야. 최대한 빨리 그곳으로 보내겠다.=154
Conversation/AICommunication/Line00008,여기에 사령부를 짓는다.=155
Conversation/AICommunication/Line00009,제대로 당하고 있다! 후퇴한다!=156
Conversation/AICommunication/Line00010,어디 있나? 여긴 초토화되고 있어!=157
Conversation/AICommunication/Line00011,지원이 필요하다, 당장!=158
Conversation/AICommunication/Line00012,지금쯤 지원군이 도착하면 좋을 텐데 말이야.=159
Conversation/AICommunication/Line00013,여기 뭔가 움직이고 있다! 탐지기가 필요해!=160
Conversation/AICommunication/Line00014,그럼 계속해서 전투를 이어가 볼까?=161
