Conversation/DEBUG_FaceAnimTest/Group00001=Kerrigan /// Kerrigan
Conversation/DEBUG_FaceAnimTest/Group00002=Izsha /// Izsha
Conversation/DEBUG_FaceAnimTest/Group00003=Zagara /// Zagara
Conversation/DEBUG_FaceAnimTest/Group00004=Stukov /// Stukov
Conversation/DEBUG_FaceAnimTest/Group00005=Valerian /// Valerian
Conversation/DEBUG_FaceAnimTest/Group00006=Dehaka /// Dehaka
Conversation/DEBUG_FaceAnimTest/Group00007=Lasarra /// Lasarra
Conversation/DEBUG_FaceAnimTest/Group00008=Kerrigan Infested /// Kerrigan Infested
Conversation/DEBUG_FaceAnimTest/Line00001=Totalmente enfadado /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00002=Medio enfadado /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00003=Poco enfadado /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00004=Totalmente asustado /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00005=Medio asustado /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00006=Poco asustado /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00007=Totalmente contento /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00008=Medio contento /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00009=Poco contento /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00010=Totalmente triste /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00011=Medio triste /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00012=Poco triste /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00013=Totalmente serio /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00014=Medio serio /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00015=Poco serio /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00016=Totalmente sorprendido /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00017=Medio sorprendido /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00018=Poco sorprendido /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00019=Totalmente enfadado /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00020=Medio enfadado /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00021=Poco enfadado /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00022=Totalmente asustado /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00023=Medio asustado /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00024=Poco asustado /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00025=Totalmente contento /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00026=Medio contento /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00027=Poco contento /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00028=Totalmente triste /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00029=Medio triste /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00030=Poco triste /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00031=Totalmente serio /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00032=Medio serio /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00033=Poco serio /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00034=Totalmente sorprendido /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00035=Medio sorprendido /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00036=Poco sorprendido /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00037=Totalmente enfadado /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00038=Medio enfadado /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00039=Poco enfadado /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00040=Totalmente asustado /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00041=Medio asustado /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00042=Poco asustado /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00043=Totalmente contento /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00044=Medio contento /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00045=Poco contento /// Happy minimum
