Character/Name/ArtanisUI,Artanis /// Artanis=0
Character/Name/Day9,Day9 /// Day9=1
Character/Name/DayNine,DayNine /// DayNine=2
Character/Name/Dehaka,Dehaka /// Dehaka=3
Character/Name/GhostFemale,Fantasma /// Ghost=4
Character/Name/Hill,Hill=5
Character/Name/Jeon,Jeon=6
Character/Name/KerriganSSF,Kerrigan /// Kerrigan=7
Character/Name/KerriganUI,Kerrigan /// Kerrigan=8
Character/Name/Kim,Kim=9
Character/Name/LockwellSSF,Lockwell /// Lockwell=10
Character/Name/MengskCommander,Arcturus Mengsk=11
Character/Name/MengskSSF,Mengsk /// Mengsk=12
Character/Name/Narrator,Narradora /// Narrator=13
Character/Name/Park,Park /// Park=14
Character/Name/ProtossAICommand,Artanis /// Artanis=15
Character/Name/Raynor,Raynor /// Raynor=16
Character/Name/RaynorSSF,Raynor /// Raynor=17
Character/Name/RaynorUI,Raynor /// Raynor=18
Character/Name/StoneAnnouncer,Stone /// Stone=19
Character/Name/Tastosis,Tastosis /// Tastosis=20
Character/Name/TerranAICommand,Raynor /// Raynor=21
Character/Name/TerranAdjutant,Adjutora /// Adjutant=22
Character/Name/TychusAnnouncer,Tychus /// Tychus=23
Character/Name/Um,Um=24
Character/Name/UmJeonKimTrio,Trío Um-Jeon-Kim=25
Character/Name/ZeratulUI,Zeratul /// Zeratul=26
Character/Name/ZergAICommand,Kerrigan /// Kerrigan=27
Character/Name/iNcontrol,iNcontrol /// iNcontrol=28
Character/Name/scboy,scboy /// scboy=29
Character/Timbre/Hill,Ronco y áspero=30
Character/VoiceRef/Hill,Ya hay actriz=31
Conversation/AICommunication/Comment00021,Intentando expandir.=32
Conversation/AICommunication/Comment00024,Yo=33
Conversation/AICommunication/Comment00025,Tú=34
Conversation/AICommunication/Comment00031,Yo=35
Conversation/AICommunication/Comment00034,Ayuda, por favor.=36
Conversation/AICommunication/Comment00047,Ayuda, por favor.=37
Conversation/AICommunication/Comment00057,Intentando expandir.=38
Conversation/AICommunication/Comment00060,Yo=39
Conversation/AICommunication/Comment00061,Tú=40
Conversation/AICommunication/Comment00067,Yo=41
Conversation/AICommunication/Comment00081,Ayuda, por favor.=42
Conversation/AICommunication/Comment00091,Intentando expandir.=43
Conversation/AICommunication/Comment00094,Yo=44
Conversation/AICommunication/Comment00095,Tú=45
Conversation/AICommunication/Comment00101,Yo=46
Conversation/AICommunication/Group00001,Comunicación de IA=47
Conversation/AICommunication/Group00002,Artanis=48
Conversation/AICommunication/Group00003,Infested Kerrigan=49
Conversation/AICommunication/Group00004,Raynor=50
Conversation/AICommunication/Group00008,Advanced Alerts=51
Conversation/AICommunication/Group00012,Advanced Alerts=52
Conversation/AICommunication/Group00013,Advanced Alerts=53
Conversation/AICommunication/Group00017,Negative=54
Conversation/AICommunication/Group00018,Negative=55
Conversation/AICommunication/Group00019,Negative=56
Conversation/AICommunication/Line00001,Rebeldes, a rodar.=57
Conversation/AICommunication/Line00002,Todavía estamos entrenando un ejército. Nos encargaremos.=58
Conversation/AICommunication/Line00003,¡Con todo, Rebeldes!=59
