Conversation/DEBUG_FaceAnimTest/Group00001=Kerrigan /// Kerrigan
Conversation/DEBUG_FaceAnimTest/Group00002=Isza /// Izsha
Conversation/DEBUG_FaceAnimTest/Group00003=Zagara /// Zagara
Conversation/DEBUG_FaceAnimTest/Group00004=Stiukow /// Stukov
Conversation/DEBUG_FaceAnimTest/Group00005=Valerian /// Valerian
Conversation/DEBUG_FaceAnimTest/Group00006=Dehaka /// Dehaka
Conversation/DEBUG_FaceAnimTest/Group00007=Lasarra /// Lasarra
Conversation/DEBUG_FaceAnimTest/Group00008=Zainfekowana Kerrigan /// Kerrigan Infested
Conversation/DEBUG_FaceAnimTest/Line00001=Złość – pełna /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00002=Złość – połowiczna /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00003=Złość – minimalna /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00004=Strach – pełny /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00005=Strach – połowiczny /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00006=Strach – minimalny /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00007=Zadowolenie – pełne /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00008=Zadowolenie – połowiczne /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00009=Zadowolenie – minimalne /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00010=Smutek – pełen /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00011=Smutek – połowiczny /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00012=Smutek – minimalny /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00013=Powaga – pełna /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00014=Powaga – połowiczna /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00015=Powaga – minimalna /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00016=Zaskoczenie – pełne /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00017=Zaskoczenie – połowiczne /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00018=Zaskoczenie – minimalne /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00019=Złość – pełna /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00020=Złość – połowiczna /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00021=Złość – minimalna /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00022=Strach – pełny /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00023=Strach – połowiczny /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00024=Strach – minimalny /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00025=Zadowolenie – pełne /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00026=Zadowolenie – połowiczne /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00027=Zadowolenie – minimalne /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00028=Smutek – pełen /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00029=Smutek – połowiczny /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00030=Smutek – minimalny /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00031=Powaga – pełna /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00032=Powaga – połowiczna /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00033=Powaga – minimalna /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00034=Zaskoczenie – pełne /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00035=Zaskoczenie – połowiczne /// Surprised half
