Conversation/DEBUG_FaceAnimTest/Group00001=Kerrigan /// Kerrigan
Conversation/DEBUG_FaceAnimTest/Group00002=Izsha /// Izsha
Conversation/DEBUG_FaceAnimTest/Group00003=Zagara /// Zagara
Conversation/DEBUG_FaceAnimTest/Group00004=Stukov /// Stukov
Conversation/DEBUG_FaceAnimTest/Group00005=Valerian /// Valerian
Conversation/DEBUG_FaceAnimTest/Group00006=Dehaka /// Dehaka
Conversation/DEBUG_FaceAnimTest/Group00007=Lasarra /// Lasarra
Conversation/DEBUG_FaceAnimTest/Group00008=Verseuchte Kerrigan /// Kerrigan Infested
Conversation/DEBUG_FaceAnimTest/Line00001=Verärgert - Ganz /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00002=Verärgert - Halb /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00003=Verärgert - Minimal /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00004=Angst - Ganz /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00005=Angst - Halb /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00006=Angst - Minimal /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00007=Froh - Ganz /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00008=Froh - Halb /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00009=Froh - Minimal /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00010=Traurig - Ganz /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00011=Traurig - Halb /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00012=Traurig - Minimal /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00013=Ernst - Ganz /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00014=Ernst - Halb /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00015=Ernst - Minimal /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00016=Überrascht - Ganz /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00017=Überrascht - Halb /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00018=Überrascht - Minimal /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00019=Verärgert - Ganz /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00020=Verärgert - Halb /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00021=Verärgert - Minimal /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00022=Angst - Ganz /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00023=Angst - Halb /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00024=Angst - Minimal /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00025=Froh - Ganz /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00026=Froh - Halb /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00027=Froh - Minimal /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00028=Traurig - Ganz /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00029=Traurig - Halb /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00030=Traurig - Minimal /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00031=Ernst - Ganz /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00032=Ernst - Halb /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00033=Ernst - Minimal /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00034=Überrascht - Ganz /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00035=Überrascht - Halb /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00036=Überrascht - Minimal /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00037=Verärgert - Ganz /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00038=Verärgert - Halb /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00039=Verärgert - Minimal /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00040=Angst - Ganz /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00041=Angst - Halb /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00042=Angst - Minimal /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00043=Froh - Ganz /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00044=Froh - Halb /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00045=Froh - Minimal /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00046=Traurig - Ganz /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00047=Traurig - Halb /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00048=Traurig - Minimal /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00049=Ernst - Ganz /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00050=Ernst - Halb /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00051=Ernst - Minimal /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00052=Überrascht - Ganz /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00053=Überrascht - Halb /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00054=Überrascht - Minimal /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00055=Verärgert - Ganz /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00056=Verärgert - Halb /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00057=Verärgert - Minimal /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00058=Angst - Ganz /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00059=Angst - Halb /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00060=Angst - Minimal /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00061=Froh - Ganz /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00062=Froh - Halb /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00063=Froh - Minimal /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00064=Traurig - Ganz /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00065=Traurig - Halb /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00066=Traurig - Minimal /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00067=Ernst - Ganz /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00068=Ernst - Halb /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00069=Ernst - Minimal /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00070=Überrascht - Ganz /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00071=Überrascht - Halb /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00072=Überrascht - Minimal /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00073=Verärgert - Ganz /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00074=Verärgert - Halb /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00075=Verärgert - Minimal /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00076=Angst - Ganz /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00077=Angst - Halb /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00078=Angst - Minimal /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00079=Froh - Ganz /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00080=Froh - Halb /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00081=Froh - Minimal /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00082=Traurig - Ganz /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00083=Traurig - Halb /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00084=Traurig - Minimal /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00085=Ernst - Ganz /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00086=Ernst - Halb /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00087=Ernst - Minimal /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00088=Überrascht - Ganz /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00089=Überrascht - Halb /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00090=Überrascht - Minimal /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00091=Verärgert - Ganz /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00092=Verärgert - Halb /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00093=Verärgert - Minimal /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00094=Angst - Ganz /// Fear full
