Character/Name/ArtanisUI,亞坦尼斯=0
Character/Name/Day9,Day9=1
Character/Name/DayNine,DayNine=2
Character/Name/Dehaka,德哈卡=3
Character/Name/GhostFemale,幽靈特務=4
Character/Name/Hill,希爾=5
Character/Name/Jeon,Jeon=6
Character/Name/KerriganSSF,凱莉根=7
Character/Name/KerriganUI,凱莉根=8
Character/Name/Kim,Kim=9
Character/Name/LockwellSSF,羅克韋爾=10
Character/Name/MengskCommander,阿克圖洛斯‧蒙斯克=11
Character/Name/MengskSSF,蒙斯克=12
Character/Name/Narrator,旁白=13
Character/Name/Park,Park /// Park=14
Character/Name/ProtossAICommand,亞坦尼斯=15
Character/Name/Raynor,雷諾=16
Character/Name/RaynorSSF,雷諾=17
Character/Name/RaynorUI,雷諾=18
Character/Name/StoneAnnouncer,史東 /// Stone=19
Character/Name/Tastosis,Tastosis /// Tastosis=20
Character/Name/TerranAICommand,雷諾=21
Character/Name/TerranAdjutant,副官=22
Character/Name/TychusAnnouncer,泰科斯=23
Character/Name/Um,Um=24
Character/Name/UmJeonKimTrio,Um-Jeon-Kim三人組=25
Character/Name/ZeratulUI,澤拉圖=26
Character/Name/ZergAICommand,凱莉根=27
Character/Name/iNcontrol,iNcontrol=28
Character/Name/scboy,SCBoy=29
Character/Timbre/Hill,Husky and gruff=30
Character/VoiceRef/Hill,Already cast=31
Conversation/AICommunication/Comment00021,嘗試在此處擴張。=32
Conversation/AICommunication/Comment00024,我=33
Conversation/AICommunication/Comment00025,你=34
Conversation/AICommunication/Comment00031,我=35
Conversation/AICommunication/Comment00034,需要幫忙。=36
Conversation/AICommunication/Comment00047,需要幫忙。=37
Conversation/AICommunication/Comment00057,嘗試在此處擴張。=38
Conversation/AICommunication/Comment00060,我=39
Conversation/AICommunication/Comment00061,你=40
Conversation/AICommunication/Comment00067,我=41
Conversation/AICommunication/Comment00081,需要幫忙。=42
Conversation/AICommunication/Comment00091,嘗試在此處擴張。=43
Conversation/AICommunication/Comment00094,我=44
Conversation/AICommunication/Comment00095,你=45
Conversation/AICommunication/Comment00101,我=46
Conversation/AICommunication/Group00001,A.I.溝通=47
Conversation/AICommunication/Group00002,Artanis=48
Conversation/AICommunication/Group00003,受感染的凱莉根=49
Conversation/AICommunication/Group00004,Raynor=50
Conversation/AICommunication/Group00008,Advanced Alerts=51
Conversation/AICommunication/Group00012,Advanced Alerts=52
Conversation/AICommunication/Group00013,Advanced Alerts=53
Conversation/AICommunication/Group00017,Negative=54
Conversation/AICommunication/Group00018,Negative=55
Conversation/AICommunication/Group00019,Negative=56
Conversation/AICommunication/Line00041,不許任何敵人靠近。=57
Conversation/AICommunication/Line00044,我們必須撤退！=58
Conversation/AICommunication/Line00062,遭遇敵方人類。=59
Conversation/AICommunication/Line00063,敵方蟲族現身了。=60
Conversation/AICommunication/Line00069,別拉下東西!=61
Conversation/AICommunication/Line00078,看來神族想打一仗。=62
Conversation/AICommunication/Line00118,辦不到。=63
Conversation/AICommunication/Line00146,該讓這些蟲群搞清楚牠們的女皇是誰了。=64
Conversation/AICommunication/Line00161,來就來吧。=65
Conversation/AICommunication/Line00215,發現敵方神族。準備迎戰。=66
Conversation/AICommunication/Line00216,發現敵方人類部隊。=67
Conversation/AICommunication/Line00217,發現敵方蟲族部隊。=68
Conversation/AICommunication/Line00233,That's not possible.=69
Conversation/AICommunication/Line00270,了解。=70
Conversation/AICommunication/Line00272,知道了。=71
Conversation/AICommunication/Line00273,好的。=72
Conversation/AICommunication/Line00276,同意。=73
Conversation/AICommunication/Line00277,搞定。=74
Conversation/AICommunication/Line00278,是。=75
Conversation/AICommunication/Line00279,我同意。=76
Conversation/AICommunication/Line00281,辦不到。=77
Conversation/AICommunication/Line00283,我等心神合一。=78
Conversation/Challengescombined/Line00001,第一回合=79
Conversation/Challengescombined/Line00002,第二回合=80
Conversation/Challengescombined/Line00003,第三回合=81
Conversation/Challengescombined/Line00004,新紀錄！=82
Conversation/Challengescombined/Line00005,歡迎，指揮官。=83
Conversation/Challengescombined/Line00006,這次練習的目標，主要是利用有限的兵力配置來對你的敵人造成最大的傷害。=84
Conversation/Challengescombined/Line00007,這些單位的特殊技能將會是獲得高分的關鍵，請善加利用。=85
Conversation/Challengescombined/Line00008,在按下「準備完成」，表示你已就緒之前，無法對敵方部隊造成傷害。=86
Conversation/Challengescombined/Line00009,你必須用現有的生物部隊盡可能地消滅敵人。=87
Conversation/Challengescombined/Line00010,偵察敵方基地，然後等你準備好開始進攻時，按下「準備完成」。=88
Conversation/Challengescombined/Line00011,時間非常緊迫！不要留情，造成最大的傷害！=89
Conversation/Challengescombined/Line00012,En Taro Tassadar，學生。一個神族的戰士必須學會與夜空繁星般多的敵人戰鬥。=90
Conversation/Challengescombined/Line00013,在這場模擬中，你將指揮一小批兵力來抵禦敵人一波波的攻擊，並盡你所能殲滅敵人。=91
Conversation/Challengescombined/Line00014,善用戰場的地形優勢，只在你的菁英部隊能扳回劣勢的地方進行戰鬥。=92
Conversation/Challengescombined/Line00015,En Taro Tassadar，學生。一個神族戰士必須學會了解自我的優勢和敵人的弱點。=93
Conversation/Challengescombined/Line00016,在這場模擬中，你將使用有限的兵力來防止三個水晶塔遭受攻擊。=94
Conversation/Challengescombined/Line00017,這些水晶塔的位置離得相當遠，你必須分散你的兵力才能保護全部三個水晶塔。=95
Conversation/Challengescombined/Line00018,調查敵軍，部署你的單位，使它們能最有效地反擊敵人。=96
Conversation/Challengescombined/Line00019,部署完你的軍隊，按下「準備完成」即可開始。=97
Conversation/Challengescombined/Line00020,注意，試圖離開部署區域將會招來懲罰。=98
Conversation/Challengescombined/Line00021,這三個螺旋塔正受到威脅。你必須用現有的部隊來保護它們。=99
Conversation/Challengescombined/Line00022,這些螺旋塔間隔得相當遠，你必須分散部隊才能讓全部受到保護。=100
Conversation/Challengescombined/Line00023,仔細調查你的敵人。部署你的手下，讓他們能最有效地反制每一批敵人。=101
Conversation/Challengescombined/Line00024,當你完全準備好時，按下「準備完成」開始進行。=102
Conversation/Challengescombined/Line00025,警告！試圖離開部署區域是不會被容忍的！=103
Conversation/Challengescombined/Line00026,你好，指揮官。在這次練習中你要運用有限的兵力配置保護三個補給站。=104
Conversation/Challengescombined/Line00027,這些補給站間隔相當遠，必須分散兵力才能讓每一個補給站都受到保護。=105
Conversation/Challengescombined/Line00028,你應該試著去編制出能夠有效反制敵方單位的小隊。=106
Conversation/Challengescombined/Line00029,完成部署後，按下「準備完成」繼續下一步。=107
Conversation/Challengescombined/Line00030,警告！你正離開部署區域。角鬥砲台已啟動。=108
Conversation/Challengescombined/Line00031,午安，指揮官。在這次練習中，你必須抵禦敵人多樣化的攻勢並守住全部的建築。=109
Conversation/Challengescombined/Line00032,你將沒有辦法訓練出更多的作戰單位。=110
Conversation/Challengescombined/Line00033,如果要贏得勝利，你必須利用太空工程車修復建築，並且擊退進攻者。=111
Conversation/Challengescombined/Line00034,En Taro Tassadar，學生。在這場模擬中你將學會如何更有效率地操控龐大軍隊。=112
