Conversation/DEBUG_FaceAnimTest/Group00001=Kerrigan /// Kerrigan
Conversation/DEBUG_FaceAnimTest/Group00002=Izsha /// Izsha
Conversation/DEBUG_FaceAnimTest/Group00003=Zagara /// Zagara
Conversation/DEBUG_FaceAnimTest/Group00004=Stukov /// Stukov
Conversation/DEBUG_FaceAnimTest/Group00005=Valerian /// Valerian
Conversation/DEBUG_FaceAnimTest/Group00006=Dehaka /// Dehaka
Conversation/DEBUG_FaceAnimTest/Group00007=Lasarra /// Lasarra
Conversation/DEBUG_FaceAnimTest/Group00008=Kerrigan Infested /// Kerrigan Infested
Conversation/DEBUG_FaceAnimTest/Line00001=Enojo total /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00002=Enojo medio /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00003=Enojo mínimo /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00004=Temor total /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00005=Temor medio /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00006=Temor mínimo /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00007=Felicidad total /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00008=Felicidad media /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00009=Felicidad mínima /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00010=Tristeza total /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00011=Tristeza media /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00012=Tristeza mínima /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00013=Seriedad total /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00014=Seriedad media /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00015=Seriedad mínima /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00016=Sorpresa total /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00017=Sorpresa media /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00018=Sorpresa mínima /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00019=Enojo total /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00020=Enojo medio /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00021=Enojo mínimo /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00022=Temor total /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00023=Temor medio /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00024=Temor mínimo /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00025=Felicidad total /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00026=Felicidad media /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00027=Felicidad mínima /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00028=Tristeza total /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00029=Tristeza media /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00030=Tristeza mínima /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00031=Seriedad total /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00032=Seriedad media /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00033=Seriedad mínima /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00034=Sorpresa total /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00035=Sorpresa media /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00036=Sorpresa mínima /// Surprised minimum
