Character/Name/ArtanisUI,Artanis /// Artanis=0
Character/Name/Day9,Day9 /// Day9=1
Character/Name/DayNine,DayNine /// DayNine=2
Character/Name/Dehaka,Dehaka /// Dehaka=3
Character/Name/GhostFemale,Fantasma /// Ghost=4
Character/Name/Hill,Hill /// Hill=5
Character/Name/Jeon,Jeon=6
Character/Name/KerriganSSF,Kerrigan /// Kerrigan=7
Character/Name/KerriganUI,Kerrigan /// Kerrigan=8
Character/Name/Kim,Kim=9
Character/Name/LockwellSSF,Lockwell /// Lockwell=10
Character/Name/MengskCommander,Arcturus Mengsk=11
Character/Name/MengskSSF,Mengsk /// Mengsk=12
Character/Name/Narrator,Narrador /// Narrator=13
Character/Name/Park,Park /// Park=14
Character/Name/ProtossAICommand,Artanis /// Artanis=15
Character/Name/Raynor,Raynor /// Raynor=16
Character/Name/RaynorSSF,Raynor /// Raynor=17
Character/Name/RaynorUI,Raynor /// Raynor=18
Character/Name/StoneAnnouncer,Stone /// Stone=19
Character/Name/Tastosis,Tastosis /// Tastosis=20
Character/Name/TerranAICommand,Raynor /// Raynor=21
Character/Name/TerranAdjutant,Adjutor /// Adjutant=22
Character/Name/TychusAnnouncer,Tychus /// Tychus=23
Character/Name/Um,Um=24
Character/Name/UmJeonKimTrio,Trio Um-Jeon-Kim=25
Character/Name/ZeratulUI,Zeratul /// Zeratul=26
Character/Name/ZergAICommand,Kerrigan /// Kerrigan=27
Character/Name/iNcontrol,iNcontrol /// iNcontrol=28
Character/Name/scboy,scboy /// scboy=29
Character/Timbre/Hill,Husky and gruff=30
Character/VoiceRef/Hill,Já contratado=31
Conversation/AICommunication/Comment00021,Tentando expandir.=32
Conversation/AICommunication/Comment00024,Eu=33
Conversation/AICommunication/Comment00025,Voce=34
Conversation/AICommunication/Comment00031,Eu=35
Conversation/AICommunication/Comment00034,Preciso de ajuda.=36
Conversation/AICommunication/Comment00047,Preciso de ajuda.=37
Conversation/AICommunication/Comment00057,Tentando expandir.=38
Conversation/AICommunication/Comment00060,Eu=39
Conversation/AICommunication/Comment00061,Voce=40
Conversation/AICommunication/Comment00067,Eu=41
Conversation/AICommunication/Comment00081,Preciso de ajuda.=42
Conversation/AICommunication/Comment00091,Tentando expandir.=43
Conversation/AICommunication/Comment00094,Eu=44
Conversation/AICommunication/Comment00095,Voce=45
Conversation/AICommunication/Comment00101,Eu=46
Conversation/AICommunication/Group00001,Comunicação da IA=47
Conversation/AICommunication/Group00002,Artanis=48
Conversation/AICommunication/Group00003,Kerrigan infestada=49
Conversation/AICommunication/Group00004,Raynor=50
Conversation/AICommunication/Group00008,Alertas avançados=51
Conversation/AICommunication/Group00012,Alertas avançados=52
Conversation/AICommunication/Group00013,Alertas avançados=53
Conversation/AICommunication/Group00017,Negative=54
Conversation/AICommunication/Group00018,Negative=55
Conversation/AICommunication/Group00019,Negative=56
Conversation/AICommunication/Line00001,Saqueadores, vamos lá! /// Raiders, roll.=57
Conversation/AICommunication/Line00002,Ainda treinando um exército. Vamos chegar lá! /// Still training up an army. We'll get to it!=58
