Character/Description/Hill,This is the same character that appears in the Wings of Liberty campaign. (Already cast). A gruff mercenary captain who has had a hard life on the battlefield, he fights for profit and not for a cause.=0
Character/Name/ArtanisUI,Artanis=1
Character/Name/Day9,Day9=2
Character/Name/DayNine,DayNine=3
Character/Name/Dehaka,Dehaka=4
Character/Name/GhostFemale,Duch=5
Character/Name/Hill,Hill=6
Character/Name/Jeon,Jeon=7
Character/Name/KerriganSSF,Kerrigan=8
Character/Name/KerriganUI,Kerrigan=9
Character/Name/Kim,Kim=10
Character/Name/LockwellSSF,Lockwell=11
Character/Name/MengskCommander,Arcturus Mengsk=12
Character/Name/MengskSSF,Mengsk=13
Character/Name/Narrator,Narrator=14
Character/Name/Park,Park=15
Character/Name/ProtossAICommand,Artanis=16
Character/Name/Raynor,Raynor=17
Character/Name/RaynorSSF,Raynor=18
Character/Name/RaynorUI,Raynor=19
Character/Name/StoneAnnouncer,Stone=20
Character/Name/Tastosis,Tastosis=21
Character/Name/TerranAICommand,Raynor=22
Character/Name/TerranAdjutant,Adiutant=23
Character/Name/TychusAnnouncer,Tychus=24
Character/Name/Um,Um=25
Character/Name/UmJeonKimTrio,Trio Um-Jeon-Kim=26
Character/Name/ZeratulUI,Zeratul=27
Character/Name/ZergAICommand,Kerrigan=28
Character/Name/iNcontrol,iNcontrol=29
Character/Name/scboy,scboy=30
Character/Timbre/Hill,Husky and gruff=31
Character/VoiceRef/Hill,Already cast=32
Conversation/AICommunication/Comment00001,Full force confirm=33
Conversation/AICommunication/Comment00002,No army. Will attack ASAP. (Player Setting)=34
Conversation/AICommunication/Comment00003,Defending area. (Player request)=35
Conversation/AICommunication/Comment00004,No army. Will defend ASAP.  (Player Setting)=36
Conversation/AICommunication/Comment00005,Attack Cautious Wave Begin=37
Conversation/AICommunication/Comment00006,No army. Will harass ASAP. (Player Setting)=38
Conversation/AICommunication/Comment00007,Ending harassment.=39
Conversation/AICommunication/Comment00008,No army. Will harass ASAP. (Player Setting)=40
Conversation/AICommunication/Comment00009,Returning to full AI control. (Player Setting)=41
Conversation/AICommunication/Comment00010,Proxy sighted=42
Conversation/AICommunication/Comment00011,Full force enter combat.=43
Conversation/AICommunication/Comment00012,Scouting.=44
Conversation/AICommunication/Comment00013,Scouting complete.=45
Conversation/AICommunication/Comment00014,Unable to send scout to location. Aborting.=46
Conversation/AICommunication/Comment00015,Cannot send scout atm. Will scout ASAP.=47
Conversation/AICommunication/Comment00016,Scout died. Sending another.=48
Conversation/AICommunication/Comment00017,Sending detector.=49
Conversation/AICommunication/Comment00018,Aborting detection command.=50
Conversation/AICommunication/Comment00019,Building a detector ASAP.=51
Conversation/AICommunication/Comment00020,Detector died. Sending another.=52
Conversation/AICommunication/Comment00021,Próbuje postawić nową ekspansję.=53
Conversation/AICommunication/Comment00022,Expansion secured.=54
Conversation/AICommunication/Comment00023,Cannot expand to location.=55
Conversation/AICommunication/Comment00024,Enemy Protoss sighted.=56
Conversation/AICommunication/Comment00025,Enemy Terran sighted.=57
Conversation/AICommunication/Comment00026,Enemy Zerg sighted.=58
Conversation/AICommunication/Comment00027,Enemy Protoss building sighted.=59
Conversation/AICommunication/Comment00028,Enemy Terran building sighted.=60
Conversation/AICommunication/Comment00029,Enemy Zerg building sighted.=61
Conversation/AICommunication/Comment00030,Enemy townhall found.=62
Conversation/AICommunication/Comment00031,Enemy forces sighted.=63
Conversation/AICommunication/Comment00032,Proxy sighted.=64
Conversation/AICommunication/Comment00033,Need detection please.=65
Conversation/AICommunication/Comment00034,Need help.=66
Conversation/AICommunication/Comment00035,Full force confirm.=67
Conversation/AICommunication/Comment00036,No army. Will attack ASAP. (Player setting)=68
Conversation/AICommunication/Comment00037,Defending area. (Player request)=69
Conversation/AICommunication/Comment00038,No army. Will defend ASAP.  (Player setting)=70
Conversation/AICommunication/Comment00039,Attack Cautious Wave Begin=71
Conversation/AICommunication/Comment00040,Full force enter combat=72
Conversation/AICommunication/Comment00041,Ending harassment.=73
Conversation/AICommunication/Comment00042,No army. Will harass ASAP. (Player Setting)=74
Conversation/AICommunication/Comment00043,Returning to full AI control. (Player Setting)=75
Conversation/AICommunication/Comment00044,Full force enter combat.=76
Conversation/AICommunication/Comment00046,Need detection please.=77
Conversation/AICommunication/Comment00047,Need help.=78
Conversation/AICommunication/Comment00048,Scouting.=79
Conversation/AICommunication/Comment00049,Scouting complete.=80
Conversation/AICommunication/Comment00050,Unable to send scout to location. Aborting.=81
Conversation/AICommunication/Comment00051,Cannot send scout atm. Will scout ASAP.=82
Conversation/AICommunication/Comment00052,Scout died. Sending another.=83
Conversation/AICommunication/Comment00053,Sending detector.=84
Conversation/AICommunication/Comment00054,Aborting detection command.=85
Conversation/AICommunication/Comment00055,Building a detector ASAP.=86
Conversation/AICommunication/Comment00056,Detector died. Sending another.=87
Conversation/AICommunication/Comment00057,Próbuje postawić nową ekspansję.=88
Conversation/AICommunication/Comment00058,Expansion secured.=89
Conversation/AICommunication/Comment00059,Cannot expand to location.=90
Conversation/AICommunication/Comment00060,Enemy Protoss sighted.=91
Conversation/AICommunication/Comment00061,Enemy Terran sighted.=92
Conversation/AICommunication/Comment00062,Enemy Zerg sighted.=93
Conversation/AICommunication/Comment00063,Enemy Protoss building sighted.=94
Conversation/AICommunication/Comment00064,Enemy Terran building sighted.=95
Conversation/AICommunication/Comment00065,Enemy Zerg building sighted.=96
Conversation/AICommunication/Comment00066,Enemy townhall found.=97
Conversation/AICommunication/Comment00067,Enemy forces sighted.=98
Conversation/AICommunication/Comment00069,Full force confirm.=99
Conversation/AICommunication/Comment00070,No army. Will attack ASAP. (Player Setting)=100
Conversation/AICommunication/Comment00071,Defending area. (Player Setting)=101
Conversation/AICommunication/Comment00072,No army. Will defend ASAP.  (Player Setting)=102
Conversation/AICommunication/Comment00073,Attack Cautious Wave Begin=103
Conversation/AICommunication/Comment00075,Ending harassment.=104
Conversation/AICommunication/Comment00077,Returning to full AI control. (Player Setting)=105
Conversation/AICommunication/Comment00080,Need detection please.=106
Conversation/AICommunication/Comment00081,Need help.=107
Conversation/AICommunication/Comment00082,Scouting.=108
Conversation/AICommunication/Comment00083,Scouting complete.=109
Conversation/AICommunication/Comment00084,Unable to send scout to location. Aborting.=110
Conversation/AICommunication/Comment00085,Cannot send scout atm. Will scout ASAP.=111
Conversation/AICommunication/Comment00086,Scout died. Sending another.=112
Conversation/AICommunication/Comment00087,Sending detector.=113
Conversation/AICommunication/Comment00088,Aborting detection command.=114
Conversation/AICommunication/Comment00089,Building a detector ASAP.=115
Conversation/AICommunication/Comment00090,Detector died. Sending another.=116
Conversation/AICommunication/Comment00091,Próbuje postawić nową ekspansję.=117
Conversation/AICommunication/Comment00092,Expansion secured.=118
Conversation/AICommunication/Comment00093,Cannot expand to location.=119
Conversation/AICommunication/Comment00094,Enemy Protoss sighted.=120
Conversation/AICommunication/Comment00095,Enemy Terran sighted.=121
Conversation/AICommunication/Comment00096,Enemy Zerg sighted.=122
Conversation/AICommunication/Comment00097,Enemy Protoss building sighted.=123
Conversation/AICommunication/Comment00098,Enemy Terran building sighted.=124
Conversation/AICommunication/Comment00099,Enemy Zerg building sighted.=125
