Character/Name/ArtanisUI,阿塔尼斯 /// Artanis=0
Character/Name/Day9,Day9 /// Day9=1
Character/Name/DayNine,DayNine /// DayNine=2
Character/Name/Dehaka,德哈卡 /// Dehaka=3
Character/Name/GhostFemale,幽灵 /// Ghost=4
Character/Name/Hill,希尔 /// Hill=5
Character/Name/Jeon,Jeon /// Jeon=6
Character/Name/KerriganSSF,凯瑞甘 /// Kerrigan=7
Character/Name/KerriganUI,凯瑞甘 /// Kerrigan=8
Character/Name/Kim,Kim /// Kim=9
Character/Name/LockwellSSF,洛克维尔 /// Lockwell=10
Character/Name/MengskCommander,阿克图尔斯·蒙斯克 /// Arcturus Mengsk=11
Character/Name/MengskSSF,蒙斯克 /// Mengsk=12
Character/Name/Narrator,旁白 /// Narrator=13
Character/Name/Park,Park /// Park=14
Character/Name/ProtossAICommand,阿塔尼斯 /// Artanis=15
Character/Name/Raynor,雷诺 /// Raynor=16
Character/Name/RaynorSSF,雷诺 /// Raynor=17
Character/Name/RaynorUI,雷诺 /// Raynor=18
Character/Name/StoneAnnouncer,斯通 /// Stone=19
Character/Name/Tastosis,Tastosis /// Tastosis=20
Character/Name/TerranAICommand,雷诺 /// Raynor=21
Character/Name/TerranAdjutant,副官 /// Adjutant=22
Character/Name/TychusAnnouncer,泰凯斯 /// Tychus=23
Character/Name/Um,Um /// Um=24
Character/Name/UmJeonKimTrio,Um-Jeon-Kim三人组 /// Um-Jeon-Kim Trio=25
Character/Name/ZeratulUI,泽拉图 /// Zeratul=26
Character/Name/ZergAICommand,凯瑞甘 /// Kerrigan=27
Character/Name/iNcontrol,iNcontrol /// iNcontrol=28
Character/Name/scboy,星际老男孩 /// scboy=29
Character/Timbre/Hill,嗓子沙哑刺耳=30
Character/VoiceRef/Hill,Already cast=31
Conversation/AICommunication/Comment00001,Full force confirm=32
Conversation/AICommunication/Comment00002,No army. Will attack ASAP. (Player Setting)=33
Conversation/AICommunication/Comment00003,Defending area. (Player request)=34
Conversation/AICommunication/Comment00004,No army. Will defend ASAP.  (Player Setting)=35
Conversation/AICommunication/Comment00005,Attack Cautious Wave Begin=36
Conversation/AICommunication/Comment00006,No army. Will harass ASAP. (Player Setting)=37
Conversation/AICommunication/Comment00007,Ending harassment.=38
Conversation/AICommunication/Comment00008,No army. Will harass ASAP. (Player Setting)=39
Conversation/AICommunication/Comment00009,Returning to full AI control. (Player Setting)=40
Conversation/AICommunication/Comment00010,Proxy sighted=41
Conversation/AICommunication/Comment00011,Full force enter combat.=42
Conversation/AICommunication/Comment00012,Scouting.=43
Conversation/AICommunication/Comment00013,Scouting complete.=44
Conversation/AICommunication/Comment00014,Unable to send scout to location. Aborting.=45
Conversation/AICommunication/Comment00015,Cannot send scout atm. Will scout ASAP.=46
Conversation/AICommunication/Comment00016,Scout died. Sending another.=47
Conversation/AICommunication/Comment00017,Sending detector.=48
Conversation/AICommunication/Comment00018,Aborting detection command.=49
Conversation/AICommunication/Comment00019,Building a detector ASAP.=50
Conversation/AICommunication/Comment00020,Detector died. Sending another.=51
Conversation/AICommunication/Comment00021,试图扩张。=52
